G_and_S_frontomargin_l
G_and_S_occipital_inf_l
G_and_S_paracentral_l
G_and_S_subcentral_l
G_and_S_transv_frontopol_l
G_and_S_cingul-Ant_l
G_and_S_cingul-Mid-Ant_l
G_and_S_cingul-Mid-Post_l
G_cingul-Post-dorsal_l
G_cingul-Post-ventral_l
G_cuneus_l
G_front_inf-Opercular_l
G_front_inf-Orbital_l
G_front_inf-Triangul_l
G_front_middle_l
G_front_sup_l
G_Ins_lg_and_S_cent_ins_l
G_insular_short_l
G_occipital_middle_l
G_occipital_sup_l
G_oc-temp_lat-fusifor_l
G_oc-temp_med-Lingual_l
G_oc-temp_med-Parahip_l
G_orbital_l
G_pariet_inf-Angular_l
G_pariet_inf-Supramar_l
G_parietal_sup_l
G_postcentral_l
G_precentral_l
G_precuneus_l
G_rectus_l
G_subcallosal_l
G_temp_sup-G_T_transv_l
G_temp_sup-Lateral_l
G_temp_sup-Plan_polar_l
G_temp_sup-Plan_tempo_l
G_temporal_inf_l
G_temporal_middle_l
Lat_Fis-ant-Horizont_l
Lat_Fis-ant-Vertical_l
Lat_Fis-post_l
Pole_occipital_l
Pole_temporal_l
S_calcarine_l
S_central_l
S_cingul-Marginalis_l
S_circular_insula_ant_l
S_circular_insula_inf_l
S_circular_insula_sup_l
S_collat_transv_ant_l
S_collat_transv_post_l
S_front_inf_l
S_front_middle_l
S_front_sup_l
S_interm_prim-Jensen_l
S_intrapariet_and_P_trans_l
S_oc_middle_and_Lunatus_l
S_oc_sup_and_transversal_l
S_occipital_ant_l
S_oc-temp_lat_l
S_oc-temp_med_and_Lingual_l
S_orbital_lateral_l
S_orbital_med-olfact_l
S_orbital-H_Shaped_l
S_parieto_occipital_l
S_pericallosal_l
S_postcentral_l
S_precentral-inf-part_l
S_precentral-sup-part_l
S_suborbital_l
S_subparietal_l
S_temporal_inf_l
S_temporal_sup_l
S_temporal_transverse_l
S_temporal_transverse_r
S_temporal_sup_r
S_temporal_inf_r
S_subparietal_r
S_suborbital_r
S_precentral-sup-part_r
S_precentral-inf-part_r
S_postcentral_r
S_pericallosal_r
S_parieto_occipital_r
S_orbital-H_Shaped_r
S_orbital_med-olfact_r
S_orbital_lateral_r
S_oc-temp_med_and_Lingual_r
S_oc-temp_lat_r
S_occipital_ant_r
S_oc_sup_and_transversal_r
S_oc_middle_and_Lunatus_r
S_intrapariet_and_P_trans_r
S_interm_prim-Jensen_r
S_front_sup_r
S_front_middle_r
S_front_inf_r
S_collat_transv_post_r
S_collat_transv_ant_r
S_circular_insula_sup_r
S_circular_insula_inf_r
S_circular_insula_ant_r
S_cingul-Marginalis_r
S_central_r
S_calcarine_r
Pole_temporal_r
Pole_occipital_r
Lat_Fis-post_r
Lat_Fis-ant-Vertical_r
Lat_Fis-ant-Horizont_r
G_temporal_middle_r
G_temporal_inf_r
G_temp_sup-Plan_tempo_r
G_temp_sup-Plan_polar_r
G_temp_sup-Lateral_r
G_temp_sup-G_T_transv_r
G_subcallosal_r
G_rectus_r
G_precuneus_r
G_precentral_r
G_postcentral_r
G_parietal_sup_r
G_pariet_inf-Supramar_r
G_pariet_inf-Angular_r
G_orbital_r
G_oc-temp_med-Parahip_r
G_oc-temp_med-Lingual_r
G_oc-temp_lat-fusifor_r
G_occipital_sup_r
G_occipital_middle_r
G_insular_short_r
G_Ins_lg_and_S_cent_ins_r
G_front_sup_r
G_front_middle_r
G_front_inf-Triangul_r
G_front_inf-Orbital_r
G_front_inf-Opercular_r
G_cuneus_r
G_cingul-Post-ventral_r
G_cingul-Post-dorsal_r
G_and_S_cingul-Mid-Post_r
G_and_S_cingul-Mid-Ant_r
G_and_S_cingul-Ant_r
G_and_S_transv_frontopol_r
G_and_S_subcentral_r
G_and_S_paracentral_r
G_and_S_occipital_inf_r
G_and_S_frontomargin_r
